Country,Year,Rank,Score
GRC,2015,45,40.28
GRC,2016,40,39.75
GRC,2017,44,38.85
GRC,2018,42,38.93
GRC,2019,41,38.9
GRC,2020,43,36.79
GRC,2021,47,36.3
GRC,2022,44,34.5
GRC,2023,42,37.5
GRC,2024,45,36.2
GTM,2011,86,29.33
GTM,2012,99,28.4
GTM,2013,87,31.46
GTM,2014,93,30.75
GTM,2015,101,28.84
GTM,2016,97,27.3
GTM,2017,98,27.9
GTM,2018,102,25.51
GTM,2019,107,25.07
GTM,2020,106,22.35
GTM,2021,101,24.1
GTM,2022,110,17.8
GTM,2023,122,15.8
GTM,2024,122,14.6
GUY,2011,61,34.83
GUY,2012,77,33.7
GUY,2013,78,34.36
GUY,2014,80,32.48
GUY,2015,86,30.75
GUY,2016,-1,-1
GUY,2017,-1,-1
GUY,2018,-1,-1
GUY,2019,-1,-1
GUY,2020,-1,-1
GUY,2021,-1,-1
GUY,2022,-1,-1
GUY,2023,-1,-1
GUY,2024,-1,-1
HKG,2011,4,58.8
HKG,2012,8,58.7
HKG,2013,7,59.43
HKG,2014,10,56.82
HKG,2015,11,57.23
HKG,2016,14,55.69
HKG,2017,16,53.88
HKG,2018,14,54.62
HKG,2019,13,55.54
HKG,2020,11,54.24
HKG,2021,14,53.7
HKG,2022,14,51.8
HKG,2023,17,53.3
HKG,2024,18,50.1
HND,2011,98,27.81
HND,2012,111,26.3
HND,2013,107,28.8
HND,2014,118,26.73
HND,2015,113,27.48
HND,2016,101,26.94
HND,2017,104,26.36
HND,2018,105,24.95
HND,2019,104,25.48
HND,2020,103,22.95
HND,2021,108,22.8
HND,2022,113,17.3
HND,2023,116,16.7
HND,2024,114,16.7
HRV,2011,44,37.98
HRV,2012,42,40.7
HRV,2013,37,41.95
HRV,2014,42,40.75
HRV,2015,40,41.7
HRV,2016,47,38.29
HRV,2017,41,39.8
HRV,2018,41,40.73
HRV,2019,44,37.82
HRV,2020,41,37.27
HRV,2021,42,37.3
HRV,2022,42,35.6
HRV,2023,44,37.1
HRV,2024,43,36.3
HUN,2011,25,48.12
HUN,2012,31,46.5
HUN,2013,31,46.93
HUN,2014,35,44.61
HUN,2015,35,43
HUN,2016,33,44.71
HUN,2017,39,41.74
